grant_id,org_city,cruz,status,org_name,org_state,state_party,award_type,nsf_total_budget,usaspending_obligated,usaspending_outlaid,estimated_budget,estimated_outlays,estimated_remaining
2409182,URBANA,,❌ Terminated,University of Illinois at Urbana-Champaign,IL,D,Continuing Grant,3500000,NA,NA,3500000,3755474.4525547447,-255474.45255474467
2409217,LAS CRUCES,,❌ Terminated,Dona Ana Branch Community College,NM,D,Continuing Grant,1499998,500000,172124.54,1499998,172124.54,1327873.46
2409404,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Continuing Grant,700000,366058,145951.04,700000,145951.04,554048.96
2409521,NEW ORLEANS,FALSE,❌ Terminated,RIPPLE EFFECT WATER LITERACY PROJECT,LA,R,Continuing Grant,1452294,703675,101748.49,1452294,101748.49,1350545.51
2409522,ANN ARBOR,FALSE,❌ Terminated,Regents of the University of Michigan - Ann Arbor,MI,D,Continuing Grant,640770,NA,NA,640770,718701.4864864865,-77931.48648648651
2409523,TUCSON,FALSE,❌ Terminated,University of Arizona,AZ,D,Continuing Grant,527716,NA,NA,527716,591897.6756756756,-64181.67567567562
2409524,NEW ORLEANS,FALSE,❌ Terminated,"GRANTED ADVISORS, LLC",LA,R,Continuing Grant,167006,82739,0,167006,0,167006
2409713,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Standard Grant,511970,511970,64817.76,511970,64817.76,447152.24
2409905,CHARLOTTESVILLE,FALSE,❌ Terminated,University of Virginia Main Campus,VA,R,Standard Grant,570890,NA,NA,570890,597837.6048951049,-26947.604895104887
2411524,SAN JUAN,FALSE,❌ Terminated,University of Puerto Rico-Rio Piedras,PR,,Standard Grant,495183,NA,NA,495183,551835.2923728813,-56652.29237288132
2411594,ATLANTA,FALSE,❌ Terminated,"Georgia State University Research Foundation, Inc.",GA,R,Continuing Grant,1111845,725836,209687.31,1111845,209687.31,902157.69
2411595,SAN ANTONIO,FALSE,❌ Terminated,University of Texas at San Antonio,TX,R,Continuing Grant,419683,275803,0,419683,0,419683
2411632,ARLINGTON,FALSE,❌ Terminated,University of Texas at Arlington,TX,R,Standard Grant,14000,14000,14000,14000,14000,0
2411640,DENVER,FALSE,❌ Terminated,University of Colorado at Denver-Downtown Campus,CO,D,Continuing Grant,1214490,564214,7818.49,1214490,7818.49,1206671.51
2411641,Boulder,FALSE,❌ Terminated,University of Colorado at Boulder,CO,D,Continuing Grant,686631,331572,65369.55,686631,65369.55,621261.45
2411642,MORGANTOWN,FALSE,❌ Terminated,West Virginia University Research Corporation,WV,R,Continuing Grant,447803,205534,89430.2,447803,89430.2,358372.8
2411643,FORT COLLINS,FALSE,❌ Terminated,Colorado State University,CO,D,Continuing Grant,267929,130178,18709.42,267929,18709.42,249219.58000000002
2411644,NEW ORLEANS,FALSE,❌ Terminated,Tulane University,LA,R,Continuing Grant,127513,62551,3005.89,127513,3005.89,124507.11
2411678,MEMPHIS,FALSE,❌ Terminated,St Jude Children's Research Hospital,TN,R,Continuing Grant,1510106,559342,119556,1510106,119556,1390550
2411679,MEMPHIS,FALSE,❌ Terminated,University of Memphis,TN,R,Continuing Grant,659341,NA,NA,659341,739531.1216216217,-80190.12162162166
2411737,SANTA CRUZ,FALSE,🔄 Possibly Reinstated,University of California-Santa Cruz,CA,D,Continuing Grant,1801338,817107,14873.72,1801338,14873.72,1786464.28
2411739,CHARLOTTESVILLE,FALSE,🔄 Possibly Reinstated,University of Virginia Main Campus,VA,R,Continuing Grant,1194516,559632,28768.88,1194516,28768.88,1165747.12
2411771,PULLMAN,FALSE,❌ Terminated,Washington State University,WA,D,Continuing Grant,604643,188167,12210.21,604643,12210.21,592432.79
2411772,SEATTLE,FALSE,❌ Terminated,Seattle University,WA,D,Continuing Grant,312570,88020,0,312570,0,312570
2411773,SEATTLE,FALSE,❌ Terminated,University of Washington,WA,D,Continuing Grant,468148,NA,NA,468148,521707.30508474575,-53559.30508474575
